0,10,185637
1,-6,940650
0,10,97166
0,8,3036608
0,3,11536426
0,1,13465059
0,10,271858
0,5,14644748
0,10,64739
0,6,3517703
0,1,8376774
0,10,262591
1,-6,1943982
0,10,238321
0,7,6006175
0,5,11570855
0,1,23491776
0,10,492798
0,8,4686181
0,4,14199874
0,2,21288433
0,10,117179
0,8,1355190
0,5,3178797
0,2,5048071
0,10,294286
0,4,11481806
0,10,218346
1,-4,1494282
1,-4,0
0,10,200800
0,8,3221702
0,6,14625338
0,4,19177805
0,10,259327
1,-5,1380411
0,10,223923
1,-4,1538339
1,-4,0
0,10,209395
0,7,5480279
0,5,7214166
0,2,9317144
0,10,78380
0,8,1555036
0,6,2751635
0,2,4886425
1,-4,0
0,10,57526
0,8,1201986
0,6,2139022
0,4,3085204
0,2,3941024
1,-4,0
0,10,137458
0,7,4904014
0,5,8870682
0,3,12511799
0,1,15778866
0,10,214713
0,8,3532962
0,5,10211002
0,3,13553454
0,1,15599403
0,10,62458
1,-6,355810
0,10,80987
0,8,1016134
0,6,1885245
0,4,2621526
0,1,3793671
0,10,254569
0,7,5936703
0,5,10753925
0,3,14773196
0,1,18854095
0,10,96460
0,8,889265
0,6,1490503
0,4,3423689
0,2,5495840
0,10,88140
1,-4,361291
0,10,68581
0,8,1220587
0,6,3823639
0,4,4679778
0,2,5578168
1,-4,0
0,10,46521
0,8,1023366
0,6,1963868
0,3,3651754
0,1,6327669
0,10,86742
0,8,1184908
0,6,2818066
0,4,3759235
0,2,5364937
0,10,177161
1,-6,831184
1,-6,0
0,10,141835
0,8,1974118
0,6,3643937
0,3,9481480
0,1,10406028
0,10,194781
0,8,2263067
0,6,5492452
0,4,8107664
0,1,10645328
0,10,72332
1,-6,363140
0,10,58405
0,8,996684
0,5,3272859
0,3,4181892
0,10,104095
0,7,4852887
0,5,6313735
0,3,7585206
0,1,9498894
0,10,104273
0,8,1383701
0,6,2533159
0,4,5261405
0,2,6723785
0,10,152563
0,8,2599024
0,6,4334532
0,4,6617934
0,2,9172972
1,-6,0
0,10,97866
0,8,3224387
0,6,6251763
0,3,13237904
0,10,64250
0,8,1074535
0,6,2129063
0,4,2936290
0,2,3547156
0,10,151692
0,7,2054706
0,5,3147077
0,3,4090284
0,10,60672
0,8,821741
0,5,1756094
0,3,2465524
0,1,10820572
0,10,58935
0,8,897402
0,5,1930190
0,2,2834363
0,10,308821
0,8,4403531
0,6,6419879
0,4,8291366
0,2,10591825
0,10,65730
1,-4,305284
0,10,80834
0,8,936272
0,6,1757447
0,3,2768024
0,1,3516661
0,10,46768
0,8,811396
0,6,1795848
0,4,3524969
0,1,4550858
